year_month,production_days,production_units,litres_produced,monitored_hours,operating_hours,downtime_hours,operational_efficiency,units_per_operating_hour
2022-07,2,5092,15276,13.314359166666653,6.884799722222214,6.429559444444439,0.5170958388638598,739.6003087155091
2022-08,2,1844,5532,8.472371666666662,3.1091161111111094,5.3632555555555514,0.3669711662135271,593.0946076314297
2022-09,8,8743,34013,35.587872777777754,14.366348888888893,21.22152388888886,0.4036866428796418,608.574946050624
2022-10,10,9458,29800,34.385401388888866,15.389823055555517,18.736985277777794,0.44756851553079474,614.5619716261643
2022-11,8,7758,25634,33.74879694444442,14.031113055555547,19.717797499999982,0.41575150304328956,552.9140823883719
2022-12,15,16051,62721,79.29720499999993,29.87496611111108,50.29275361111108,0.3767467732451743,537.2725759856284
2023-01,9,10042,32460,26.34411555555554,14.219900833333343,11.739821388888856,0.5397752224152615,706.193391761229
2023-02,2,1900,6922,7.504514444444437,3.9329074999999927,4.062706111111113,0.5240722140139937,483.10314951470474
