downtime_id,date_key,date,downtime_start_ts,downtime_end_ts,start_hour,reported_duration_minutes,calculated_duration_minutes,duration_variance_seconds,duration_band
downtime_018,20220722,2022-07-22T00:00:00,2022-07-22T13:01:03,2022-07-22T13:03:48,13,2.75025,2.75025,0.0,1–5 min
downtime_019,20220722,2022-07-22T00:00:00,2022-07-22T13:04:18,2022-07-22T13:55:19,13,51.00288333333333,51.00288333333333,0.0,15–60 min
downtime_020,20220722,2022-07-22T00:00:00,2022-07-22T15:02:38,2022-07-22T15:03:23,15,0.7500333333333333,0.7500333333333333,0.0,<1 min
downtime_021,20220722,2022-07-22T00:00:00,2022-07-22T15:03:38,2022-07-22T15:04:53,15,1.25015,1.25015,0.0,1–5 min
downtime_022,20220722,2022-07-22T00:00:00,2022-07-22T15:05:08,2022-07-22T15:07:08,15,2.0000166666666668,2.0000166666666668,0.0,1–5 min
downtime_023,20220722,2022-07-22T00:00:00,2022-07-22T15:11:38,2022-07-22T15:12:23,15,0.7498666666666666,0.7498666666666666,0.0,<1 min
downtime_024,20220722,2022-07-22T00:00:00,2022-07-22T15:13:38,2022-07-22T15:15:08,15,1.4996,1.4996,0.0,1–5 min
downtime_025,20220722,2022-07-22T00:00:00,2022-07-22T15:15:38,2022-07-22T15:26:23,15,10.750516666666666,10.750516666666666,0.0,5–15 min
downtime_026,20220722,2022-07-22T00:00:00,2022-07-22T15:28:08,2022-07-22T15:28:53,15,0.7496666666666666,0.7496666666666666,0.0,<1 min
downtime_027,20220722,2022-07-22T00:00:00,2022-07-22T15:33:23,2022-07-22T15:35:53,15,2.4998666666666667,2.4998666666666667,0.0,1–5 min
downtime_028,20220722,2022-07-22T00:00:00,2022-07-22T15:40:08,2022-07-22T15:43:08,15,3.0002,3.0002,0.0,1–5 min
downtime_029,20220722,2022-07-22T00:00:00,2022-07-22T15:44:08,2022-07-22T15:44:38,15,0.5001333333333333,0.5001333333333333,0.0,<1 min
downtime_030,20220722,2022-07-22T00:00:00,2022-07-22T15:48:53,2022-07-22T15:53:53,15,5.0003166666666665,5.0003166666666665,0.0,5–15 min
downtime_031,20220722,2022-07-22T00:00:00,2022-07-22T15:58:08,2022-07-22T16:02:08,15,4.0004,4.0004,0.0,1–5 min
downtime_032,20220722,2022-07-22T00:00:00,2022-07-22T16:05:38,2022-07-22T16:06:53,16,1.2503,1.2503,0.0,1–5 min
